"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1718997",0.0836388976055558,6.92440629555357,3.10497372066348,0.00297172405620894,0.906508865906583,-1.71214135007051
"ILMN_1778291",0.0966945871944418,6.82933894969643,3.10452301825998,0.00297558718774989,0.906508865906583,-1.71318331228011
"ILMN_1670674",-0.104835334711114,6.80364212514286,-3.1007042998681,0.00300850804387725,0.906508865906583,-1.72200761548835
"ILMN_1822217",-0.12010253437222,6.84581384269643,-3.09727191226892,0.00303838912105483,0.906508865906583,-1.72993299507856
"ILMN_2295280",0.107381429666663,6.78972854192857,3.09647908073683,0.00304533060732689,0.906508865906583,-1.7317628083608
"ILMN_1864370",-0.104142586905557,6.80898621251786,-3.09138406157739,0.00309029456295174,0.906508865906583,-1.74351436629632
"ILMN_1880379",-0.0953919456944439,6.81694739766071,-3.09125084463865,0.00309147850740357,0.906508865906583,-1.74382145472102
"ILMN_1702775",-0.215806229738891,6.97507796566071,-3.08625072310733,0.00313622453310924,0.906508865906583,-1.75534120157986
"ILMN_1664437",-0.078848810866667,6.81488987582143,-3.08588783546981,0.00313949548706619,0.906508865906583,-1.75617676957172
"ILMN_1750325",0.136509509477777,7.11628149771429,3.08485807264894,0.0031487948327813,0.906508865906583,-1.75854749423198
"ILMN_1680279",-0.257636687133335,10.5118450782857,-3.08204013221614,0.00317437437921973,0.906508865906583,-1.76503225582695
"ILMN_1812395",-0.0981976656833368,6.78402206944643,-3.07799316747294,0.00321145051403523,0.906508865906583,-1.77433833883519
"ILMN_2079042",-0.0903246137444418,6.77121457882143,-3.07696949349179,0.00322089285266414,0.906508865906583,-1.7766909975454
"ILMN_1887341",-0.105537920638889,6.820292229625,-3.07534984785729,0.00323588547819208,0.906508865906583,-1.78041227349424
"ILMN_2313349",0.104518198772224,6.84611495466071,3.07448765694114,0.0032438931454502,0.906508865906583,-1.78239269436525
"ILMN_1913579",0.0968248616222205,6.8751613685,3.07412979675393,0.00324722224007581,0.906508865906583,-1.78321457639454
"ILMN_1678707",-0.267431447888887,10.6793916275,-3.07376701241206,0.00325060040435326,0.906508865906583,-1.78404770182881
"ILMN_1691547",0.079551933338891,6.819743182875,3.06514189108148,0.00333189000841636,0.912871460319218,-1.80383558248116
"ILMN_1733716",-0.0984841576944442,6.80280955123214,-3.06140940627667,0.00336765357796617,0.912871460319218,-1.81238708247017
"ILMN_1741079",0.0903400715833325,6.78911276969643,3.06115776002589,0.0033700776434362,0.912871460319218,-1.81296337644635
"ILMN_1899404",0.0938550851722217,6.79320904555357,3.0584567107852,0.00339619928826605,0.912871460319218,-1.81914702303682
"ILMN_1916743",0.0882868137722221,6.87309494569643,3.05728188785248,0.00340761985858237,0.912871460319218,-1.82183545297828
"ILMN_1885567",-0.0749052683111122,6.78109828957143,-3.05453244951816,0.00343448784802388,0.912871460319218,-1.82812445712565
"ILMN_1896614",0.110111163333334,6.81830577064286,3.05061730983738,0.00347308904160913,0.912871460319218,-1.83707325451237
"ILMN_1815158",-0.179338398522223,9.14047080442857,-3.04887729518579,0.00349037442802299,0.912871460319218,-1.84104789545137
"ILMN_1824496",0.0829355222611126,6.84695497851786,3.04749764701579,0.00350413700182859,0.912871460319218,-1.84419827485426
"ILMN_2344662",0.118380622327778,6.89548026916071,3.04730330617028,0.00350607970187392,0.912871460319218,-1.84464196789861
"ILMN_1740233",0.097964123222221,6.81107269214286,3.04728360868885,0.003506276661027,0.912871460319218,-1.84468693748544
"ILMN_1681057",-0.0922997651277813,6.79517759219643,-3.04508858305404,0.0035282900319229,0.912871460319218,-1.8496969730513
"ILMN_1776173",0.136267264222219,11.4079214928571,3.04455078844933,0.00353370309362125,0.912871460319218,-1.85092408888041
"ILMN_1806733",-0.102675095805554,6.88117389473214,-3.04181501102915,0.0035613597860722,0.912871460319218,-1.85716418792416
"ILMN_1666761",-0.173087724394446,9.86755200751786,-3.03561405368919,0.00362479690904287,0.912871460319218,-1.87129399528997
"ILMN_1909438",0.123563989533333,6.79185332167857,3.03384753787939,0.00364306088692829,0.912871460319218,-1.87531567890887
"ILMN_1900615",-0.0993504852388876,6.81851462023214,-3.02984946622088,0.00368471456589974,0.912871460319218,-1.88441188350622
"ILMN_1774884",0.0942528565722203,6.83232402851786,3.0297499050385,0.0036857574883266,0.912871460319218,-1.88463829573803
"ILMN_2297161",0.118980229700001,6.93243428767857,3.0287014667832,0.00369675681772333,0.912871460319218,-1.88702224313598
"ILMN_2136177",-0.201523546305555,8.82291059344643,-3.02343587194936,0.00375246374629568,0.912871460319218,-1.89898669206827
"ILMN_1827134",-0.0899365896111144,6.81053825278571,-3.02187216797545,0.00376915705115972,0.912871460319218,-1.90253699570495
"ILMN_1833051",0.0805887986111111,6.82424335042857,3.018093147352,0.00380978640157522,0.912871460319218,-1.91111187782238
"ILMN_2359078",0.0939617227055543,6.79843309430357,3.01331424041914,0.00386175080316901,0.912871460319218,-1.92194507980692
"ILMN_1775188",-0.0910964552055562,6.81438924876786,-3.01315678064016,0.00386347416939897,0.912871460319218,-1.92230182228887
"ILMN_1896088",-0.087877085794446,6.77512388844643,-3.01000457975174,0.0038981256337243,0.912871460319218,-1.92944079734736
"ILMN_1785703",-0.322639799955557,8.91400828707143,-3.00687951566066,0.00393276465134037,0.912871460319218,-1.93651326433196
"ILMN_1751901",-0.530973152194443,7.78400541280357,-3.00563962398836,0.00394658727244788,0.912871460319218,-1.93931792203698
"ILMN_1688019",0.0862294560499945,6.82773750405357,3.00464570193703,0.0039577004514956,0.912871460319218,-1.94156561949875
"ILMN_1705630",0.11138998498333,6.88690753266071,3.00361996504485,0.00396919993687332,0.912871460319218,-1.94388473003847
"ILMN_1870630",-0.115997203061112,6.84964531958929,-3.00182825889189,0.00398936140856719,0.912871460319218,-1.94793433421947
"ILMN_1897980",-0.0822400657500006,6.80616768294643,-3.00055879856735,0.00400370394809117,0.912871460319218,-1.95080255797994
"ILMN_2122014",-0.0862469060999995,6.77305958853571,-2.99941492502263,0.00401666873567723,0.912871460319218,-1.95338631734792
"ILMN_1826236",0.0750771263055547,6.88559775633929,2.99415318562844,0.00407681130536609,0.912871460319218,-1.96526271717144
"ILMN_1667933",0.0772589349277792,6.76623135623214,2.99409112393617,0.00407752566137497,0.912871460319218,-1.96540271262376
"ILMN_1902082",-0.107188257777779,6.86907453089286,-2.99315330525836,0.00408833455141288,0.912871460319218,-1.96751795108729
"ILMN_1849196",0.110152602705553,6.81750991544643,2.9900214125204,0.0041246251067765,0.912871460319218,-1.97457859394462
"ILMN_2151168",0.131657365766667,6.98692144110714,2.98699916361583,0.00415992945988484,0.912871460319218,-1.98138722860111
"ILMN_1695301",0.084758144883331,6.83068184794643,2.98661400119638,0.00416444889292718,0.912871460319218,-1.98225459618355
